algorithm,graph_id,vertices,edges,total_cost,operations,execution_time_ms
Prim,1,5,4,18.00,4,0.026
Prim,2,10,18,31.00,10,0.049
Prim,3,20,76,61.00,41,0.255
Prim,4,25,120,53.00,40,0.225
Prim,5,30,174,63.00,57,0.173
Prim,6,40,156,107.00,56,0.205
Prim,7,70,483,150.00,192,0.476
Prim,8,100,990,161.00,280,0.534
Prim,9,120,1428,185.00,465,0.827
Prim,10,150,2235,209.00,452,1.562
Prim,11,180,3222,204.00,427,1.776
Prim,12,210,4389,234.00,736,2.117
Prim,13,240,5736,275.00,652,3.490
Prim,14,270,7263,283.00,781,3.136
Prim,15,300,8970,313.00,1148,4.162
Prim,16,330,5428,386.00,1357,2.230
Prim,17,370,6826,459.00,1630,2.916
Prim,18,430,9223,490.00,1337,3.645
Prim,19,500,12475,537.00,1555,5.444
Prim,20,580,16791,608.00,2449,8.487
Prim,21,650,21092,678.00,2123,7.752
Prim,22,730,26608,744.00,2723,7.897
Prim,23,800,31960,813.00,3089,13.835
Prim,24,900,40455,909.00,2782,9.578
Prim,25,1000,49950,1007.00,4100,16.185
Prim,26,1200,35970,1264.00,4941,9.268
Prim,27,1600,63960,1632.00,8260,20.896
Prim,28,2000,99950,2021.00,8308,20.864
Kruskal,1,5,4,18.00,4,0.047
Kruskal,2,10,18,31.00,18,0.022
Kruskal,3,20,76,61.00,76,0.089
Kruskal,4,25,120,53.00,120,0.146
Kruskal,5,30,174,63.00,174,0.191
Kruskal,6,40,156,107.00,156,0.125
Kruskal,7,70,483,150.00,483,0.295
Kruskal,8,100,990,161.00,990,0.578
Kruskal,9,120,1428,185.00,1428,1.111
Kruskal,10,150,2235,209.00,2235,1.546
Kruskal,11,180,3222,204.00,3222,2.197
Kruskal,12,210,4389,234.00,4389,2.502
Kruskal,13,240,5736,275.00,5736,2.798
Kruskal,14,270,7263,283.00,7263,3.667
Kruskal,15,300,8970,313.00,8970,5.194
Kruskal,16,330,5428,386.00,5428,2.486
Kruskal,17,370,6826,459.00,6826,4.210
Kruskal,18,430,9223,490.00,9223,4.747
Kruskal,19,500,12475,537.00,12475,5.403
Kruskal,20,580,16791,608.00,16791,6.318
Kruskal,21,650,21092,678.00,21092,6.677
Kruskal,22,730,26608,744.00,26608,8.245
Kruskal,23,800,31960,813.00,31960,7.914
Kruskal,24,900,40455,909.00,40455,12.008
Kruskal,25,1000,49950,1007.00,49950,14.277
Kruskal,26,1200,35970,1264.00,35970,10.104
Kruskal,27,1600,63960,1632.00,63960,15.716
Kruskal,28,2000,99950,2021.00,99950,23.270
